,Date,Low,High,Close,Open
4873,2019-06-13,107.25,110.2,110.05,107.75
4872,2019-06-12,106.85,110.9,107.3,109.95
4871,2019-06-11,107.6,111.0,110.4,108.0
4870,2019-06-10,106.45,109.4,107.6,109.4
4869,2019-06-07,104.9,110.0,108.45,106.95
4868,2019-06-06,106.3,113.1,106.95,113.0
4867,2019-06-04,110.95,114.2,113.2,111.75
4866,2019-06-03,110.65,112.7,111.35,111.5
4865,2019-05-31,109.7,114.9,111.55,113.25
4864,2019-05-30,111.6,116.95,113.6,116.95
4863,2019-05-29,110.15,113.6,111.95,113.5
4862,2019-05-28,111.7,114.7,112.75,113.35
4861,2019-05-27,109.4,117.45,113.05,111.5
4860,2019-05-24,103.0,112.0,111.65,103.0
4859,2019-05-23,101.35,107.5,102.35,103.0
4858,2019-05-22,96.8,102.25,100.9,97.25
4857,2019-05-21,95.55,99.85,96.8,98.55
4856,2019-05-20,94.6,100.05,99.6,94.6
4855,2019-05-17,88.7,92.0,91.7,89.8
4854,2019-05-16,86.7,89.55,89.2,89.55
4853,2019-05-15,88.05,89.8,88.7,88.05
4852,2019-05-14,86.05,89.55,89.0,87.0
4851,2019-05-13,86.5,90.4,86.95,89.5
4850,2019-05-10,88.85,90.65,89.5,90.4
4849,2019-05-09,86.1,91.1,89.8,86.1
4848,2019-05-08,85.65,87.25,86.45,86.5
4847,2019-05-07,86.25,89.35,86.6,88.6
4846,2019-05-06,87.2,88.45,88.1,87.9
4845,2019-05-03,86.85,89.25,88.35,88.3
4844,2019-05-02,86.25,89.2,88.15,87.0
4843,2019-04-30,85.4,88.1,87.1,88.1
4842,2019-04-26,86.55,88.5,88.1,87.8
4841,2019-04-25,86.8,89.6,87.25,88.75
4840,2019-04-24,87.7,89.05,88.6,89.05
4839,2019-04-23,87.9,89.9,88.4,89.15
4838,2019-04-22,88.6,92.9,89.4,92.9
4837,2019-04-18,92.1,94.55,92.45,94.45
4836,2019-04-16,94.0,95.6,94.15,95.4
4835,2019-04-15,94.1,95.8,95.0,94.8
4834,2019-04-12,92.2,94.85,94.25,93.85
4833,2019-04-11,93.0,95.65,93.5,95.6
4832,2019-04-10,95.0,96.85,95.55,96.0
4831,2019-04-09,93.3,96.8,95.95,95.35
4830,2019-04-08,94.6,97.4,95.15,96.9
4829,2019-04-05,96.4,98.4,96.9,98.0
4828,2019-04-04,96.2,99.0,97.35,97.5
4827,2019-04-03,96.3,102.4,97.15,101.8
4826,2019-04-02,96.0,102.0,100.95,96.4
4825,2019-04-01,92.95,97.5,95.95,94.0
4824,2019-03-28,91.8,93.2,92.45,92.95
4823,2019-03-27,91.5,94.15,92.05,93.0
4822,2019-03-26,91.8,93.25,92.35,91.9
4821,2019-03-25,89.85,93.05,91.75,90.05
4820,2019-03-22,90.6,94.25,91.05,93.55
4819,2019-03-20,92.7,97.65,93.35,96.9
4818,2019-03-19,93.5,97.0,96.4,94.6
4817,2019-03-18,93.45,96.2,94.45,95.4
4816,2019-03-15,92.4,95.45,94.8,93.5
4815,2019-03-14,91.2,94.8,93.1,94.1
4814,2019-03-13,88.0,94.05,93.45,91.45
4813,2019-03-12,90.7,93.65,91.15,92.5
4812,2019-03-11,87.45,91.8,91.4,88.0
4811,2019-03-08,86.6,89.1,87.2,88.95
4810,2019-03-07,88.95,92.75,89.25,92.75
4809,2019-03-06,90.1,93.85,92.15,91.9
4808,2019-03-05,85.2,90.8,90.05,86.0
4807,2019-03-01,82.85,85.25,85.0,82.85
4806,2019-02-28,80.15,83.2,82.4,80.95
4805,2019-02-27,79.7,82.7,80.35,80.9
4804,2019-02-26,77.45,80.55,79.8,79.95
4803,2019-02-25,77.3,81.2,80.85,78.95
4802,2019-02-22,78.25,79.3,78.7,78.85
4801,2019-02-21,76.0,77.8,77.45,76.0
4800,2019-02-20,76.35,78.65,77.35,77.8
4799,2019-02-19,75.15,77.0,75.85,75.95
4798,2019-02-18,74.85,76.3,75.45,75.65
4797,2019-02-15,74.4,76.2,75.35,75.0
4796,2019-02-14,72.55,76.4,74.65,75.0
4795,2019-02-12,76.2,79.85,77.75,77.7
4794,2019-02-11,75.95,80.0,76.8,80.0
4793,2019-02-08,79.35,82.9,80.1,82.9
4792,2019-02-07,80.6,82.9,81.75,82.0
4791,2019-02-06,78.35,82.1,81.9,80.3
4790,2019-02-05,79.3,83.2,79.8,82.8
4789,2019-02-04,81.65,84.95,82.85,84.95
4788,2019-02-01,83.3,86.15,84.45,84.25
4787,2019-01-31,83.25,88.0,83.65,87.7
4786,2019-01-30,82.0,84.6,84.0,82.0
4785,2019-01-29,79.45,82.45,81.85,80.0
4784,2019-01-28,79.0,80.95,79.7,80.2
4783,2019-01-25,80.1,83.9,80.4,83.0
4782,2019-01-24,82.5,84.25,82.85,83.7
4781,2019-01-23,83.75,85.75,83.9,85.6
4780,2019-01-22,84.4,87.3,85.1,85.95
4779,2019-01-21,85.8,87.6,86.4,86.55
4778,2019-01-18,86.2,88.25,86.4,87.5
4777,2019-01-17,86.75,89.45,87.05,89.45
4776,2019-01-16,88.1,91.3,89.0,90.55
4775,2019-01-15,90.0,92.0,90.3,91.6
4774,2019-01-14,89.8,92.5,91.35,92.5
4773,2019-01-11,91.75,92.9,91.95,92.9
4772,2019-01-10,91.6,93.15,92.35,92.5
4771,2019-01-09,90.2,92.65,92.15,91.3
4770,2019-01-08,90.15,91.7,91.0,91.65
4769,2019-01-07,91.05,93.15,91.35,92.7
4768,2019-01-04,88.5,92.7,91.85,89.35
4767,2019-01-03,88.1,90.8,88.45,90.05
4766,2019-01-02,86.8,90.1,89.65,87.8
4765,2019-01-01,87.35,88.45,87.8,88.15
4764,2018-12-31,86.1,89.5,87.95,86.5
4763,2018-12-28,87.0,88.3,87.75,87.3
4762,2018-12-27,86.0,90.9,86.45,90.15
4761,2018-12-26,85.35,89.4,88.75,87.5
4760,2018-12-24,87.25,89.4,87.95,88.6
4759,2018-12-21,88.05,95.0,88.65,91.5
4758,2018-12-20,85.5,90.9,90.3,86.35
4757,2018-12-19,84.4,87.25,86.7,84.5
4756,2018-12-18,82.9,84.5,84.3,83.0
4755,2018-12-17,82.4,84.55,83.7,82.4
4754,2018-12-14,81.4,84.9,82.4,84.9
4753,2018-12-13,80.8,84.8,84.1,81.1
4752,2018-12-12,79.1,81.85,80.3,79.1
4751,2018-12-11,74.95,79.75,79.05,77.0
4750,2018-12-10,76.8,80.25,77.55,79.65
4749,2018-12-07,80.15,82.65,80.4,82.45
4748,2018-12-06,81.6,83.95,81.9,82.45
4747,2018-12-05,81.0,83.95,82.75,83.4
4746,2018-12-04,83.45,86.45,83.8,85.15
4745,2018-12-03,82.5,86.4,85.15,84.5
4744,2018-11-30,82.85,85.4,83.2,84.6
4743,2018-11-29,83.5,91.2,85.4,91.0
4742,2018-11-28,88.5,93.95,88.85,93.5
4741,2018-11-27,92.75,96.1,93.35,96.1
4740,2018-11-26,93.15,96.05,95.8,94.7
4739,2018-11-22,93.25,94.8,93.75,94.3
4738,2018-11-21,92.3,95.1,94.4,93.1
4737,2018-11-20,92.45,96.0,92.9,93.9
4736,2018-11-19,92.55,94.65,93.95,93.1
4735,2018-11-16,91.85,97.65,93.1,97.65
4734,2018-11-15,94.0,97.3,96.55,97.3
4733,2018-11-14,94.25,98.05,95.95,95.25
4732,2018-11-13,92.8,95.2,94.7,95.0
4731,2018-11-12,94.75,99.3,95.2,98.95
4730,2018-11-09,95.05,99.2,98.7,95.45
4729,2018-11-07,95.2,96.0,95.55,96.0
4728,2018-11-06,94.65,96.65,95.05,95.7
4727,2018-11-05,93.1,96.7,95.1,95.25
4726,2018-11-02,94.7,98.85,95.25,98.5
4725,2018-11-01,93.25,98.2,97.3,93.45
4724,2018-10-31,89.45,93.05,92.65,89.45
4723,2018-10-30,86.45,90.9,89.45,86.45
4722,2018-10-29,86.05,91.0,86.45,89.9
4721,2018-10-26,81.55,90.95,87.5,82.9
4720,2018-10-25,82.0,85.15,83.4,83.75
4719,2018-10-24,83.85,88.45,84.65,87.75
4718,2018-10-23,83.95,87.1,86.9,84.25
4717,2018-10-22,82.8,84.85,84.25,83.0
4716,2018-10-19,82.25,86.1,83.35,85.0
4715,2018-10-17,83.5,89.05,85.35,88.2
4714,2018-10-16,86.75,88.5,87.85,87.9
4713,2018-10-15,84.3,88.1,87.2,86.25
4712,2018-10-12,84.9,87.35,85.5,86.7
4711,2018-10-11,77.9,86.4,84.65,79.8
4710,2018-10-10,76.65,81.8,81.4,77.0
4709,2018-10-09,74.8,78.75,75.9,77.2
4708,2018-10-08,75.25,79.95,77.2,79.95
4707,2018-10-05,79.0,83.2,80.5,82.0
4706,2018-10-04,80.45,83.5,82.3,83.0
4705,2018-10-03,81.25,84.7,83.5,82.8
4704,2018-10-01,78.3,84.0,82.75,80.7
4703,2018-09-28,78.9,83.3,80.2,82.5
4702,2018-09-27,81.7,86.0,82.15,85.3
