,Date,Low,High,Close,Open
4873,2019-06-13,894.45,925.9,917.95,924.0
4872,2019-06-12,911.6,961.8,920.25,956.0
4871,2019-06-11,942.65,962.1,957.2,959.8
4870,2019-06-10,944.35,978.0,950.6,969.9
4869,2019-06-07,942.0,976.5,962.85,965.5
4868,2019-06-06,949.9,994.0,958.9,989.9
4867,2019-06-04,981.5,1010.0,990.9,999.7
4866,2019-06-03,964.4,1005.0,1000.55,977.0
4865,2019-05-31,963.0,1012.5,974.25,1010.0
4864,2019-05-30,976.0,1013.9,1008.65,987.0
4863,2019-05-29,979.0,1007.95,984.75,1003.85
4862,2019-05-28,987.7,1015.4,1008.55,1014.55
4861,2019-05-27,950.0,1018.35,1001.7,970.0
4860,2019-05-24,944.95,982.0,976.2,948.9
4859,2019-05-23,925.5,979.8,935.25,940.15
4858,2019-05-22,889.9,934.0,922.2,898.0
4857,2019-05-21,890.0,924.4,896.7,917.25
4856,2019-05-20,868.0,930.0,916.8,901.85
4855,2019-05-17,826.55,850.05,838.05,843.4
4854,2019-05-16,812.75,847.1,839.7,832.6
4853,2019-05-15,819.05,846.7,824.5,846.7
4852,2019-05-14,783.35,840.0,832.95,785.15
4851,2019-05-13,788.05,856.45,797.1,848.0
4850,2019-05-10,823.05,849.0,843.6,823.05
4849,2019-05-09,813.45,833.9,821.55,830.0
4848,2019-05-08,825.15,840.85,831.55,834.8
4847,2019-05-07,832.2,859.9,835.8,859.9
4846,2019-05-06,850.7,873.35,853.15,865.0
4845,2019-05-03,869.0,881.35,874.5,874.95
4844,2019-05-02,857.8,887.05,873.4,873.75
4843,2019-04-30,871.7,897.0,876.9,897.0
4842,2019-04-26,891.2,912.75,897.0,906.1
4841,2019-04-25,897.7,923.85,903.3,909.2
4840,2019-04-24,903.0,921.55,906.7,910.0
4839,2019-04-23,881.4,925.25,901.35,910.3
4838,2019-04-22,913.4,950.0,925.35,947.2
4837,2019-04-18,948.85,969.0,953.4,966.0
4836,2019-04-16,963.55,978.25,965.4,976.6
4835,2019-04-15,968.0,989.0,970.0,978.55
4834,2019-04-12,970.75,984.5,978.25,971.7
4833,2019-04-11,965.45,979.15,971.25,975.5
4832,2019-04-10,962.9,981.35,972.3,966.0
4831,2019-04-09,948.0,974.65,968.2,969.7
4830,2019-04-08,957.7,994.5,961.95,991.6
4829,2019-04-05,983.7,1000.6,991.6,989.7
4828,2019-04-04,980.0,1012.0,983.4,1002.05
4827,2019-04-03,993.5,1034.35,1001.6,1014.4
4826,2019-04-02,995.0,1019.2,1009.05,1009.7
4825,2019-04-01,1000.0,1026.8,1007.65,1018.0
4824,2019-03-28,966.0,997.2,991.25,966.5
4823,2019-03-27,956.95,990.4,967.0,973.0
4822,2019-03-26,972.8,989.9,977.5,973.9
4821,2019-03-25,940.0,974.3,968.45,964.0
4820,2019-03-22,960.4,1008.0,967.05,998.7
4819,2019-03-20,973.75,1004.1,989.9,990.1
4818,2019-03-19,985.0,1013.55,993.25,1005.0
4817,2019-03-18,971.9,1012.4,995.15,972.0
4816,2019-03-15,955.25,978.85,963.85,970.05
4815,2019-03-14,954.15,985.95,970.4,972.05
4814,2019-03-13,895.45,979.7,972.05,909.9
4813,2019-03-12,902.5,925.8,906.3,920.0
4812,2019-03-11,896.45,917.95,912.5,897.95
4811,2019-03-08,876.0,913.6,897.6,880.15
4810,2019-03-07,876.65,914.05,888.85,911.1
4809,2019-03-06,903.3,949.0,911.1,912.25
4808,2019-03-05,852.0,920.0,908.2,857.8
4807,2019-03-01,838.4,858.6,850.85,842.95
4806,2019-02-28,830.75,852.1,835.55,839.9
4805,2019-02-27,825.0,853.1,837.35,829.9
4804,2019-02-26,795.45,827.85,823.85,811.0
4803,2019-02-25,818.0,835.15,824.85,828.8
4802,2019-02-22,795.0,822.0,817.65,795.0
4801,2019-02-21,775.05,790.5,786.3,776.0
4800,2019-02-20,755.15,777.15,773.75,755.15
4799,2019-02-19,750.0,778.15,755.75,762.5
4798,2019-02-18,762.0,783.5,767.25,765.1
4797,2019-02-15,766.45,783.95,771.1,783.6
4796,2019-02-14,750.75,787.5,783.6,754.65
4795,2019-02-12,756.2,800.0,765.0,796.0
4794,2019-02-11,761.15,792.0,784.0,789.7
4793,2019-02-08,754.45,790.5,782.6,770.0
4792,2019-02-07,756.0,779.2,771.85,758.55
4791,2019-02-06,726.0,764.55,758.3,761.0
4790,2019-02-05,754.0,799.05,762.25,796.15
4789,2019-02-04,785.5,819.0,796.15,819.0
4788,2019-02-01,791.1,817.75,799.25,798.75
4787,2019-01-31,785.45,820.05,795.5,799.0
4786,2019-01-30,785.0,805.0,795.0,805.0
