,Date,Low,High,Close,Open
4223,2019-06-13,131.0,133.85,132.2,133.75
4222,2019-06-12,133.0,135.5,133.55,133.1
4221,2019-06-11,133.5,135.75,133.65,134.05
4220,2019-06-10,132.5,138.3,134.05,136.05
4219,2019-06-07,136.8,139.4,137.25,137.6
4218,2019-06-06,136.05,141.25,137.6,141.25
4217,2019-06-04,136.0,141.2,139.35,139.0
4216,2019-06-03,134.65,142.0,140.3,139.0
4215,2019-05-31,140.0,142.0,140.35,142.0
4214,2019-05-30,140.65,151.0,142.6,151.0
4213,2019-05-29,150.0,155.0,150.05,153.0
4212,2019-05-28,151.0,158.0,151.9,155.0
4211,2019-05-27,143.0,153.9,151.8,143.15
4210,2019-05-24,139.35,142.15,140.8,140.25
4209,2019-05-23,136.15,143.85,137.85,143.85
4208,2019-05-22,140.15,142.35,142.25,141.5
4207,2019-05-21,138.3,142.9,141.85,138.3
4206,2019-05-20,137.8,142.0,138.1,139.9
4205,2019-05-17,135.25,140.35,137.25,140.35
4204,2019-05-16,135.0,141.0,136.9,141.0
4203,2019-05-15,140.0,145.0,140.85,140.05
4202,2019-05-14,140.85,145.0,141.05,145.0
4201,2019-05-13,146.4,148.5,146.45,148.5
4200,2019-05-10,144.05,148.95,147.95,146.0
4199,2019-05-09,145.5,147.95,146.8,145.5
4198,2019-05-08,146.5,149.7,147.0,149.7
4197,2019-05-07,148.05,150.0,148.7,148.65
4196,2019-05-06,148.5,149.85,148.7,149.5
4195,2019-05-03,147.05,149.95,148.1,148.7
4194,2019-05-02,149.0,150.2,149.8,150.0
4193,2019-04-30,148.55,152.55,149.25,151.6
4192,2019-04-26,151.2,152.0,151.55,151.7
4191,2019-04-25,151.3,153.95,151.7,153.05
4190,2019-04-24,152.15,154.7,153.95,153.0
4189,2019-04-23,152.0,155.5,154.3,152.0
4188,2019-04-22,152.9,155.95,153.15,155.95
4187,2019-04-18,151.85,156.05,155.4,151.85
4186,2019-04-16,151.15,153.7,151.8,151.5
4185,2019-04-15,150.5,152.9,152.1,151.9
4184,2019-04-12,150.0,152.0,150.45,151.15
4183,2019-04-11,150.55,153.0,152.2,152.0
4182,2019-04-10,150.05,152.6,150.85,151.55
4181,2019-04-09,150.5,152.7,152.55,152.0
4180,2019-04-08,152.4,154.9,152.7,154.9
4179,2019-04-05,152.0,155.3,152.35,155.25
4178,2019-04-04,150.0,158.1,155.25,154.55
4177,2019-04-03,155.0,158.9,155.1,158.9
4176,2019-04-02,157.0,159.0,157.95,157.8
4175,2019-04-01,153.25,159.8,157.75,153.25
4174,2019-03-28,150.05,156.55,152.25,154.45
4173,2019-03-27,152.0,157.9,153.5,157.1
4172,2019-03-26,155.5,158.0,155.95,156.7
4171,2019-03-25,153.35,157.65,154.4,156.0
4170,2019-03-22,157.4,161.25,159.5,159.7
4169,2019-03-20,159.1,161.2,160.7,161.1
4168,2019-03-19,156.0,161.7,158.45,160.95
4167,2019-03-18,160.0,163.8,160.0,161.05
4166,2019-03-15,159.9,163.35,160.25,161.9
4165,2019-03-14,160.55,163.85,161.7,163.85
4164,2019-03-13,159.25,164.85,161.15,163.85
4163,2019-03-12,162.0,164.85,163.25,163.0
4162,2019-03-11,158.5,161.9,159.85,160.0
4161,2019-03-08,159.5,163.0,160.0,162.95
4160,2019-03-07,161.3,168.9,162.85,168.9
4159,2019-03-06,158.0,168.35,164.65,158.0
4158,2019-03-05,152.0,157.9,157.25,153.95
4157,2019-03-01,146.9,151.5,151.2,148.85
4156,2019-02-28,141.7,147.0,146.5,145.6
4155,2019-02-27,145.35,149.25,146.35,145.35
4154,2019-02-26,144.1,149.0,146.3,149.0
4153,2019-02-25,148.75,153.0,152.05,150.9
4152,2019-02-22,145.8,151.0,147.35,147.0
4151,2019-02-21,144.0,149.2,145.7,149.0
4150,2019-02-20,145.4,151.0,145.8,148.0
