,Date,Low,High,Close,Open
4819,2019-06-13,6.42,6.42,6.42,6.42
4818,2019-06-12,6.75,6.75,6.75,6.75
4817,2019-06-11,6.75,6.75,6.75,6.75
4816,2019-06-10,7.1,7.1,7.1,7.1
4815,2019-06-07,7.35,7.35,7.35,7.35
4814,2019-06-06,7.35,7.35,7.35,7.35
4813,2019-06-04,7.0,7.0,7.0,7.0
4812,2019-06-03,7.29,7.29,7.29,7.29
4811,2019-05-31,7.29,7.29,7.29,7.29
4810,2019-05-30,7.29,7.29,7.29,7.29
4809,2019-05-29,7.29,7.29,7.29,7.29
4808,2019-05-28,6.95,6.95,6.95,6.95
4807,2019-05-27,6.65,7.0,6.65,7.0
4806,2019-05-24,7.0,7.0,7.0,7.0
4805,2019-05-23,7.0,7.0,7.0,7.0
4804,2019-05-22,7.0,7.0,7.0,7.0
4803,2019-05-21,7.0,7.0,7.0,7.0
4802,2019-05-20,6.78,7.13,7.0,7.0
4801,2019-05-17,7.13,7.5,7.13,7.5
4800,2019-05-16,7.5,7.5,7.5,7.5
4799,2019-05-15,7.5,7.5,7.5,7.5
4798,2019-05-14,7.48,7.5,7.5,7.48
4797,2019-05-13,7.48,7.48,7.48,7.48
4796,2019-05-10,7.48,7.48,7.48,7.48
4795,2019-05-09,7.48,7.48,7.48,7.48
4794,2019-05-08,7.48,7.48,7.48,7.48
4793,2019-05-07,7.48,7.48,7.48,7.48
4792,2019-05-06,7.48,7.48,7.48,7.48
4791,2019-05-03,7.48,7.48,7.48,7.48
4790,2019-05-02,7.48,7.48,7.48,7.48
4789,2019-04-30,7.48,7.48,7.48,7.48
4788,2019-04-26,7.48,7.48,7.48,7.48
4787,2019-04-25,7.48,7.48,7.48,7.48
4786,2019-04-24,7.48,7.48,7.48,7.48
4785,2019-04-23,7.48,7.48,7.48,7.48
4784,2019-04-22,7.48,7.48,7.48,7.48
4783,2019-04-18,7.48,7.48,7.48,7.48
4782,2019-04-16,7.48,7.48,7.48,7.48
4781,2019-04-15,7.87,7.87,7.87,7.87
4780,2019-04-12,7.5,7.5,7.5,7.5
4779,2019-04-11,7.5,7.5,7.5,7.5
4778,2019-04-10,7.32,7.32,7.32,7.32
4777,2019-04-09,7.32,7.32,7.32,7.32
4776,2019-04-08,7.32,7.32,7.32,7.32
4775,2019-04-05,7.7,7.7,7.7,7.7
4774,2019-04-04,7.7,7.7,7.7,7.7
4773,2019-04-03,7.7,7.7,7.7,7.7
4772,2019-04-02,7.7,7.7,7.7,7.7
4771,2019-04-01,7.75,8.1,8.1,7.75
4770,2019-03-28,7.9,7.9,7.9,7.9
4769,2019-03-27,7.85,7.85,7.85,7.85
4768,2019-03-26,7.53,7.53,7.53,7.53
4767,2019-03-25,7.53,7.92,7.53,7.92
4766,2019-03-22,7.92,8.7,7.92,7.92
4765,2019-03-20,8.08,8.5,8.33,8.5
4764,2019-03-19,7.84,8.5,8.5,7.84
4763,2019-03-18,7.51,8.25,8.25,7.9
4762,2019-03-15,7.89,7.9,7.9,7.89
4761,2019-03-14,8.26,8.3,8.3,8.26
4760,2019-03-13,8.26,8.26,8.26,8.26
4759,2019-03-12,8.26,8.26,8.26,8.26
4758,2019-03-11,8.26,8.26,8.26,8.26
4757,2019-03-08,8.26,8.26,8.26,8.26
4756,2019-03-07,7.87,7.87,7.87,7.87
4755,2019-03-06,7.87,7.87,7.87,7.87
4754,2019-03-05,7.87,7.87,7.87,7.87
4753,2019-03-01,7.87,7.87,7.87,7.87
4752,2019-02-28,7.87,7.87,7.87,7.87
4751,2019-02-27,7.13,7.87,7.87,7.13
4750,2019-02-26,7.5,7.5,7.5,7.5
4749,2019-02-25,7.6,7.7,7.61,7.6
4748,2019-02-22,7.6,7.6,7.6,7.6
4747,2019-02-21,7.25,7.25,7.25,7.25
4746,2019-02-20,7.25,7.25,7.25,7.25
4745,2019-02-19,7.25,7.25,7.25,7.25
4744,2019-02-18,7.25,7.5,7.25,7.25
4743,2019-02-15,7.17,7.17,7.17,7.17
4742,2019-02-14,6.83,6.83,6.83,6.83
4741,2019-02-12,7.18,7.18,7.18,7.18
4740,2019-02-11,7.41,7.41,7.41,7.41
4739,2019-02-08,7.41,7.41,7.41,7.41
4738,2019-02-07,7.41,7.8,7.41,7.8
4737,2019-02-06,7.8,8.19,7.8,8.19
4736,2019-02-05,7.8,7.8,7.8,7.8
4735,2019-02-04,7.8,7.8,7.8,7.8
4734,2019-02-01,7.8,7.8,7.8,7.8
4733,2019-01-31,7.8,7.8,7.8,7.8
